"ind1_2d";"ind2_2d";"ind1";"ind2";"egk_coagg";"egk_coagg_mne";"egk_coagg_local";"coagg_porter_emp";"coagg_porter_emp_mne";"coagg_porter_emp_local";"coagg_porter_emp_mixed";"coagg_porter_rca01";"coagg_porter_rca01_mne";"coagg_porter_rca01_local";"coagg_porter_rca01_mixed";"coagg_mat";"coagg_mat_mne";"coagg_mat_local";"coagg_mat_mixed"
1;1;11;11;0.00981613399974039;0.0659065753578373;0.00956770845381694;1;1;1;0.125544660857282;1;1;1;-0.0456194502711037;0;0;0;0
1;1;11;12;0.00576326612483367;0.00923555456805747;0.00573011493407205;0.10659321474793;0.0587034943581202;0.101369571246472;-0.0007349106978925;0.0265464163709508;0.149974005683627;0.0179055710659441;-0.0713941988064419;8.73175081244123e-08;7.10785233580664e-06;9.07353262878479e-08;8.46323631013293e-07
1;1;11;13;0.00444946124842403;0.0169883261230483;0.0041950266344359;0.286836092895223;0.0662913471975325;0.316093640904265;0.00590888364210505;0.0233866599995484;0.214009940058596;-0.0108262691166834;0.101986263296573;2.95739582963707e-07;4.516697145339e-06;3.5154548657535e-07;2.48693262033545e-06
1;1;11;14;0.00726083256231757;0.00806321818081909;0.00714271224497988;0.383239844140731;0.0796082128134747;0.377894533628067;0.0260335333068859;0.450566071528526;0.0390230207748456;0.516707815548522;-0.0596688651908528;2.02950516845913e-08;3.1005683988339e-06;2.06913095775404e-08;1.72926981800973e-07
1;1;11;15;0.00867797227326708;0.0171282444284638;0.00844085131992426;0.325685196964793;0.0537624891415135;0.326229940894154;0.0412401080298997;0.321578733215787;0.180349981589822;0.341407599943223;0.0406321576981525;9.10049546938801e-08;5.31357157026667e-05;9.1993672270843e-08;8.5867690102382e-07
1;1;11;16;0.00661435589619248;-0.0305675428308974;0.00649334138200862;0.532352542046564;-0.0108229396021967;0.543968671511379;0.06208812571642;0.454195147555467;-0.021411875703636;0.456054578696641;-0.032241294010958;8.70476813939213e-08;1.00078999305452e-06;9.01981052829463e-08;7.96014390974836e-07
1;1;11;17;0.00703920991445606;0.0757185286290504;0.00712316877462632;0.230281257810991;0.289475494433206;0.220662491714079;0.0790567557744809;0.260204861581369;0.180349981589822;0.246435701637675;0.0733636180661087;2.99549931218238e-07;0.000135254549061333;3.01049194107854e-07;3.57712432398958e-06
1;1;12;11;0.00576326612483367;0.00923555456805747;0.00573011493407205;0.10659321474793;0.0587034943581202;0.101369571246472;0.0929813385015877;0.0265464163709508;0.149974005683627;0.0179055710659441;-0.168734262933854;8.73175081244123e-08;7.10785233580664e-06;9.07353262878479e-08;4.52072464798933e-07
1;1;12;12;0.0192971157308966;0.164182046661481;0.019507865542142;1;1;1;0.292003767637203;1;1;1;0.130737544602309;0;0;0;0
1;1;12;13;0.0067132917673579;0.00366631871791836;0.00572922023369349;0.302351752430957;-0.014518515940963;0.269263101712525;0.0773238443661563;0.15299835113259;0.093970615896295;0.138127947371796;0.0510168036940377;1.69136032812224e-06;1.2464772852178e-06;1.87528162695095e-06;7.31061736043875e-06
1;1;12;14;0.0045884286018703;0.00142675752439195;0.00462055566129442;0.045263468954274;-0.0286757595461446;0.0331405188774866;0.0365090986851616;-0.053636859224933;0.0163906017140576;-0.0614692482937828;-0.162338107034316;6.75674015129116e-08;1.79855900664899e-06;6.91406344574169e-08;3.25101366786478e-07
1;1;12;15;0.00527250328371749;-0.00251387047632188;0.00515560359483359;-0.00593726871940103;-0.015501442410834;-0.0169062866703941;0.10866563565196;-0.0983455321514497;-0.0211357197292412;-0.0989597918985961;-0.170306802908756;2.69818390693936e-07;0;2.71679782191998e-07;2.15429313050597e-06
