"nace3d";"total_emp";"total_firms"
11;60600;8390
12;6807;1379
13;1925;235
14;51077;3930
15;8621;688
16;16061;2720
17;1557;394
21;2237;380
22;9587;444
23;43;12
24;6087;1492
31;782;81
32;1077;131
52;510;20
62;39;4
72;180;6
81;4338;314
89;211;23
91;868;25
99;346;19
101;43546;1010
102;55;10
103;14735;654
104;1898;67
105;14451;199
106;5775;192
107;47582;3214
108;17846;787
109;9407;229
110;18159;1773
120;1556;11
131;2417;52
132;2921;88
133;1192;101
139;26003;970
141;48157;3238
142;305;54
143;4280;300
151;7169;261
152;14267;499
161;9118;970
162;25241;2872
171;1959;36
172;21981;552
181;24617;2453
182;582;101
192;5135;12
201;11322;279
202;867;34
203;1908;78
204;5254;220
205;1753;134
206;93;10
211;1647;43
212;18412;74
221;17856;250
222;52248;2115
231;8327;307
232;1458;36
233;5130;95
234;7152;243
235;2810;66
236;10789;681
237;2095;480
239;3086;103
241;9572;59
242;702;22
243;3806;68
244;7504;68
245;9540;216
251;45346;3453
252;6046;296
253;1860;43
254;384;7
255;4296;168
256;44430;3618
257;9402;602
259;14385;786
261;26774;326
262;11814;146
263;14968;288
264;8390;82
265;5774;338
266;2531;187
267;1111;129
271;19212;371
272;233;16
273;14300;84
274;4011;121
275;11922;103
279;7257;272
281;55742;317
282;29843;1567
283;6538;181
284;2365;205
289;15064;717
291;20867;75
292;4983;141
293;97929;410
301;694;100
302;5058;38
303;972;33
309;1988;79
310;29465;2616
321;1438;348
322;233;45
323;2050;128
324;5103;136
325;15885;964
329;10145;589
331;21153;1990
332;6225;687
351;16823;247
352;7146;69
353;9426;204
360;28183;266
370;6623;444
381;16249;558
382;6048;212
383;4014;406
390;1653;89
411;10445;1742
412;122992;16895
421;31732;2186
422;32811;3112
429;7633;795
431;17495;3114
432;79248;13844
433;38319;9175
439;42303;7024
451;49690;7309
452;36857;7183
453;20299;2920
454;1481;341
461;30208;5361
462;13482;1847
463;59919;5394
464;59663;8080
465;8945;1016
466;16947;1907
467;48819;5743
469;50186;5811
471;191445;20521
472;48347;10499
473;11358;1261
474;9799;1818
475;44690;8127
476;13142;2481
477;129029;25190
478;11659;4092
479;18693;4568
492;3002;32
493;65340;2358
494;108108;13161
495;751;4
502;34;4
503;772;56
504;640;40
511;1451;55
512;165;10
521;10943;610
522;85114;2799
531;30405;61
532;6456;864
551;35610;1953
552;2863;663
553;631;120
559;5812;638
561;130464;22954
562;21893;1996
563;34955;10960
581;16974;1745
582;8237;964
591;7245;1230
592;643;155
601;852;127
602;4764;319
611;13055;544
612;11200;161
613;79;10
619;1234;163
620;73514;7244
631;13889;1782
639;2328;424
641;57526;329
642;3689;248
649;11555;513
651;13252;89
652;131;5
653;352;36
661;8098;1473
662;8538;2611
663;1081;102
681;32462;6058
682;42038;6430
683;21985;3145
691;16806;4472
692;99932;10305
701;6797;646
702;47170;8028
711;49357;8686
712;10341;1352
721;26771;1351
722;4741;357
731;17917;3108
732;4273;747
741;1398;402
742;3479;612
743;1978;569
749;17219;3341
750;2808;583
771;4115;646
772;2731;638
773;7698;982
774;404;62
781;15379;704
782;79374;750
783;13487;210
791;9152;1192
799;819;184
801;40443;3263
802;18971;1941
803;1389;147
811;19286;682
812;59700;4688
813;9689;1168
821;10287;1091
822;2736;133
823;4686;873
829;51564;5252
841;585428;7462
842;119136;374
843;13967;67
851;74117;3145
852;216323;5656
853;125583;2001
854;94974;483
855;18593;3726
856;4880;460
861;126579;470
862;60666;12741
869;31176;1615
871;1445;30
872;4559;47
873;59187;928
879;17262;170
881;22438;881
889;33723;1183
900;20296;2165
910;25027;954
920;6125;737
931;22733;2737
932;14557;1650
941;2926;389
942;1659;180
949;40625;2828
951;4417;748
952;8160;2071
960;42931;10284
970;61;18
990;181;38
