reg;ind;total_emp;nr_firms;rca;rca01;
1;11;113;6;0.272;0;
1;12;…;NA;…;0;
1;14;190;4;0.543;0;
1;16;…;NA;…;0;
1;103;NA;NA;…;0;
1;104;NA;NA;…;1;
1;105;NA;NA;…;0;
1;107;NA;6;…;1;
1;108;79;6;0.647;0;
1;109;…;NA;…;1;
1;139;…;NA;…;0;
1;141;98;11;0.297;0;
1;143;NA;NA;…;0;
1;152;…;NA;…;0;
1;161;NA;NA;…;0;
1;162;69;6;0.399;0;
1;172;…;NA;…;0;
1;181;156;23;0.926;0;
1;201;NA;NA;…;0;
1;203;NA;NA;…;0;
1;211;NA;NA;…;0;
1;212;NA;NA;…;0;
1;222;NA;6;…;0;
1;231;…;NA;…;0;
1;236;…;NA;…;0;
1;237;…;NA;…;0;
1;239;…;NA;…;0;
1;241;NA;NA;…;0;
1;244;NA;NA;…;1;
1;251;38;4;0.122;0;
1;255;NA;NA;…;0;
1;256;95;8;0.312;0;
1;257;NA;NA;…;0;
1;259;NA;NA;…;0;
1;261;…;NA;…;0;
1;263;…;NA;…;0;
1;264;NA;NA;…;0;
1;265;NA;NA;…;0;
1;271;NA;NA;…;0;
1;281;NA;NA;…;0;
1;282;75;10;0.367;0;
1;289;22;5;0.213;0;
1;293;NA;NA;…;0;
1;301;NA;NA;…;1;
1;303;NA;NA;…;0;
1;309;NA;NA;…;1;
1;310;64;8;0.317;0;
1;321;…;NA;…;0;
1;322;NA;NA;…;1;
1;324;NA;NA;…;0;
1;325;35;7;0.322;0;
1;329;NA;NA;…;0;
1;331;27;7;0.186;0;
1;332;…;NA;…;0;
1;351;NA;5;…;0;
1;353;NA;NA;…;0;
1;370;…;NA;…;0;
1;381;NA;NA;…;0;
1;382;NA;NA;…;0;
1;383;NA;NA;…;0;
1;390;NA;NA;…;0;
1;411;137;23;1.916;1;
1;412;641;52;0.761;0;
1;421;742;7;3.415;1;
1;422;270;24;1.202;1;
1;429;17;4;0.325;0;
1;431;66;10;0.551;0;
1;432;203;33;0.374;0;
1;433;39;9;0.149;0;
1;439;304;21;05.jan;1;
1;451;104;23;0.306;0;
1;452;66;11;0.262;0;
1;453;22;4;0.158;0;
1;454;…;NA;…;1;
1;461;262;30;1.267;1;
1;462;63;7;0.682;0;
1;463;189;21;0.461;0;
1;464;1032;48;2.526;1;
1;465;72;14;1.176;1;
1;466;52;7;0.448;0;
1;467;249;25;0.745;0;
1;469;499;68;1.452;1;
1;471;345;63;0.263;0;
1;472;137;20;0.414;0;
1;474;249;17;3.711;1;
1;475;73;15;0.239;0;
1;476;35;7;0.389;0;
1;477;624.753;117;0.707;0;
1;479;252;22;1.969;1;
1;493;18;6;0.04;0;
1;494;67;11;0.091;0;
1;503;NA;NA;…;1;
1;521;56;7;0.747;0;
1;522;122;9;0.209;0;
1;532;…;NA;…;0;
1;551;1328;20;5.447;1;
1;552;…;NA;…;0;
1;559;NA;NA;…;1;
1;561;1217;120;1.362;1;
1;562;49;7;0.327;0;
1;563;97;14;0.405;0;
1;581;318;45;2.736;1;
1;582;167;13;2.961;1;
1;591;158;26;3.185;1;
1;592;…;NA;…;1;
1;601;69;9;11.829;1;
1;602;…;NA;…;0;
1;611;326;15;3.647;1;
1;612;NA;NA;…;0;
1;619;…;NA;…;1;
1;620;637;68;1.266;1;
1;631;NA;22;…;1;
1;639;71;7;4.455;1;
1;642;37;8;1.465;1;
1;649;127;17;1.605;1;
1;653;NA;NA;…;1;
1;661;80;11;1.443;1;
1;662;39;10;0.667;0;
1;663;103;7;13.917;1;
1;681;350.977;71;1.579;1;
1;682;673;60;2.338;1;
1;683;434;37;2.883;1;
1;691;532;134;4.623;1;
1;692;289;56;0.422;0;
1;701;133;16;2.858;1;
1;702;827;134;2.561;1;
1;711;759;118;2.246;1;
1;712;24;10;0.339;0;
1;721;82;18;0.447;0;
1;722;530;22;16.328;1;
1;731;487;52;3.97;1;
1;732;67;13;29.febr;1;
1;741;34;5;3.551;1;
1;742;72;9;3.023;1;
