"town";"year";"kod";"area";"pop";"type";"nuts3";"nuts4"
"Aba";2017;1737;88.05;4657;"város";"Fejér";"Székesfehérvári"
"Aba";2019;1737;88.05;4645;"város";"Fejér";"Székesfehérvári"
"Aba";2015;1737;88.05;4630;"város";"Fejér";"Székesfehérvári"
"Aba";2021;1737;88.05;4648;"város";"Fejér";"Székesfehérvári"
"Aba";2018;1737;88.05;4660;"város";"Fejér";"Székesfehérvári"
"Aba";2022;1737;88.05;4633;"város";"Fejér";"Székesfehérvári"
"Aba";2016;1737;88.05;4635;"város";"Fejér";"Székesfehérvári"
"Aba";2020;1737;88.05;4668;"város";"Fejér";"Székesfehérvári"
"Abaliget";2022;1254;16.09;659;"község";"Baranya";"Pécsi"
"Abaliget";2016;1254;16.09;697;"község";"Baranya";"Pécsi"
"Abaliget";2020;1254;16.09;696;"község";"Baranya";"Pécsi"
"Abaliget";2018;1254;16.09;706;"község";"Baranya";"Pécsi"
"Abaliget";2021;1254;16.09;689;"község";"Baranya";"Pécsi"
"Abaliget";2015;1254;16.09;679;"község";"Baranya";"Pécsi"
"Abaliget";2017;1254;16.09;694;"község";"Baranya";"Pécsi"
"Abaliget";2019;1254;16.09;685;"község";"Baranya";"Pécsi"
"Abasá";2021;2455;20.82;2496;"község";"Heves";"Gyöngyösi"
"Abasá";2016;2455;20.82;2449;"község";"Heves";"Gyöngyösi"
"Abasá";2015;2455;20.82;2452;"község";"Heves";"Gyöngyösi"
"Abasá";2017;2455;20.82;2467;"község";"Heves";"Gyöngyösi"
"Abasá";2018;2455;20.82;2482;"község";"Heves";"Gyöngyösi"
"Abasá";2020;2455;20.82;2463;"község";"Heves";"Gyöngyösi"
"Abasá";2019;2455;20.82;2465;"község";"Heves";"Gyöngyösi"
"Abasá";2022;2455;20.82;2540;"község";"Heves";"Gyöngyösi"
"Abaújalpár";2018;1566;8.48;69;"község";"Borsod-Abaúj-Zemplén";"Gönci"
"Abaújalpár";2019;1566;8.48;69;"község";"Borsod-Abaúj-Zemplén";"Gönci"
"Abaújalpár";2021;1566;8.48;69;"község";"Borsod-Abaúj-Zemplén";"Gönci"
"Abaújalpár";2020;1566;8.48;67;"község";"Borsod-Abaúj-Zemplén";"Gönci"
