"dist_int";"poss_ties";"obs_io";"obs_labor";"obs_overlap";"io_diff_ind";"labor_diff_ind";"overlap_diff_ind";"nr_io_ties";"nr_io_sr_ties";"nr_io_sr_flow_ties";"nr_io_sr_noflow_ties"
0;2744238070;34907;116878;6264;29638;96548;4454;29638;17388;3158;14230
5;4514940322;19590;46117;1102;17019;37525;782;17019;9606;560;9046
10;2988803120;10717;25587;614;9479;21663;469;9479;5451;337;5114
15;2837530493;10308;27722;600;9197;24106;458;9197;5005;327;4678
20;2851247228;9935;27769;589;8945;24311;443;8945;5025;323;4702
25;1994456160;6736;18243;384;6032;16055;289;6032;3449;198;3251
30;1613203801;4331;13809;260;3878;12223;187;3878;2228;137;2091
35;1821179524;4277;12587;231;3856;11111;169;3856;2141;125;2016
40;1794876112;3870;11514;222;3526;10171;172;3526;1982;114;1868
45;1840022303;3673;10739;250;3328;9304;179;3328;1946;123;1823
50;1760919720;2972;7661;173;2739;6730;147;2739;1525;98;1427
55;1895775622;3289;7577;166;2984;6636;135;2984;1684;89;1595
60;2293930787;3788;8445;189;3483;7475;157;3483;1886;108;1778
65;2141678007;2999;7456;158;2726;6518;125;2726;1503;85;1418
70;1615162645;2146;4616;98;1933;4113;77;1933;1088;52;1036
75;2390145532;3059;6443;108;2754;5722;76;2754;1388;51;1337
80;1838824921;2360;5102;124;2149;4564;101;2149;1184;69;1115
85;1923426736;1992;4562;105;1779;3997;84;1779;1001;61;940
90;2376949848;3138;6552;155;2854;5864;125;2854;1562;79;1483
95;2122262026;2434;4590;94;2183;4081;71;2183;1212;46;1166
100;2501743772;2768;5448;103;2550;4836;85;2550;1250;53;1197
105;2961585942;3629;7651;170;3263;6749;132;3263;1674;89;1585
110;2741721761;2758;6366;120;2508;5604;99;2508;1447;65;1382
115;2260212315;2005;4360;99;1837;3817;78;1837;1077;63;1014
120;2003769911;1630;3256;60;1469;2869;43;1469;806;29;777
125;2135802463;1496;3121;56;1352;2691;44;1352;768;33;735
130;2283764973;1851;3875;82;1672;3469;62;1672;918;38;880
135;2868037051;2601;6172;121;2345;5526;97;2345;1252;58;1194
140;2957261530;2632;5902;119;2406;5286;93;2406;1303;67;1236
145;2633623469;2098;4113;89;1890;3630;70;1890;1046;50;996
150;2776081960;2263;4011;93;2084;3533;70;2084;1128;52;1076
155;3174418267;2690;5321;115;2416;4671;90;2416;1364;65;1299
160;2770337844;2238;4432;74;1999;3938;57;1999;1052;40;1012
165;3128841770;2898;5335;112;2623;4720;87;2623;1404;66;1338
170;3325006305;2898;5468;108;2605;4808;82;2605;1400;55;1345
175;2570236554;1990;4162;73;1808;3670;53;1808;980;38;942
180;2541275597;1952;4347;61;1738;3888;47;1738;952;31;921
185;2646002040;2101;4988;81;1892;4451;58;1892;949;35;914
190;2879569616;2148;4851;95;1939;4254;80;1939;1066;60;1006
195;2907731415;2859;5606;114;2557;4903;82;2557;1353;67;1286
200;2233486639;1668;3470;83;1486;2990;57;1486;720;38;682
205;1680180557;1095;2207;58;970;1937;43;970;549;24;525
210;1428448677;927;1552;27;829;1342;22;829;479;18;461
215;986811462;516;940;23;466;833;14;466;255;9;246
220;871518260;397;780;13;362;688;9;362;216;5;211
225;957278471;448;1028;17;410;923;13;410;254;10;244
230;884519054;419;794;15;376;704;12;376;223;9;214
235;737169872;421;962;19;389;812;15;389;207;12;195
240;826517886;360;813;8;330;716;7;330;191;4;187
245;945049718;468;870;13;423;754;9;423;229;7;222
250;575992517;255;449;5;229;391;4;229;121;3;118
255;710949520;312;513;6;275;438;4;275;152;2;150
260;606046559;247;469;4;214;405;3;214;131;3;128
265;501043854;185;314;3;164;273;2;164;107;NA;107
270;573517968;261;479;12;225;395;6;225;143;4;139
275;473600576;183;290;6;170;257;6;170;112;5;107
280;333483706;124;225;5;111;196;4;111;57;3;54
285;487916758;199;229;7;168;198;4;168;108;3;105
290;305562960;113;199;2;102;175;2;102;57;1;56
295;585200571;195;431;8;177;364;6;177;99;4;95
300;625446350;254;419;5;219;357;2;219;141;2;139
305;350789122;107;172;7;96;146;3;96;62;3;59
310;253889527;65;154;1;60;133;1;60;32;NA;32
315;383111685;100;194;1;88;161;1;88;52;NA;52
320;314701925;72;190;2;65;153;1;65;41;NA;41
325;240568345;61;147;3;56;115;2;56;40;2;38
330;374653585;93;246;2;86;217;2;86;50;2;48
335;234840221;59;162;1;50;137;0;50;41;NA;41
340;226775123;78;113;1;66;99;0;66;48;NA;48
345;200161437;64;87;2;58;80;2;58;41;2;39
350;190590083;48;127;3;40;112;2;40;25;2;23
355;152885417;35;96;0;30;88;0;30;19;NA;19
360;172324401;46;92;2;42;74;2;42;29;2;27
365;207677996;61;119;3;55;94;1;55;30;1;29
370;138481169;37;75;3;28;65;0;28;12;NA;12
375;139987309;40;104;0;35;72;0;35;22;NA;22
380;162448900;38;117;4;31;98;1;31;21;1;20
385;171403720;35;133;0;29;110;0;29;21;NA;21
390;72659177;17;48;0;17;44;0;17;9;NA;9
395;72762118;17;49;1;16;27;1;16;10;1;9
400;64113296;14;38;1;12;32;0;12;8;NA;8
405;22619805;1;11;0;0;10;0;NA;NA;NA;NA
410;59139623;14;19;0;14;18;0;14;13;NA;13
415;39946736;8;27;0;8;25;0;8;8;NA;8
420;37425973;6;29;0;6;26;0;6;6;NA;6
425;5869655;3;4;1;2;3;0;2;2;NA;2
430;42021539;21;27;1;16;25;1;16;7;1;6
435;13499865;3;10;0;3;9;0;3;1;NA;1
440;21985900;5;21;0;5;20;0;5;1;NA;1
445;11123008;4;6;0;4;6;0;4;3;NA;3
450;3640924;1;3;0;1;3;0;1;NA;NA;NA
455;19536478;4;8;0;4;7;0;4;1;NA;1
460;2742370;1;2;0;1;2;0;1;1;NA;1
465;1786638;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
470;2029242;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
475;689634;0;1;0;0;1;0;NA;NA;NA;NA
480;1252956;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
490;657126;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
