"jaras_kod";"jaras_nev";"megye_kod";"megye_nev"
999;"Budapest, illetve fiktiv teruleti egyseg";1;"Budapest"
999;"Budapest, illetve fiktiv teruleti egyseg";2;"Baranya"
999;"Budapest, illetve fiktiv teruleti egyseg";3;"Bacs-Kiskun"
999;"Budapest, illetve fiktiv teruleti egyseg";4;"Bekes"
999;"Budapest, illetve fiktiv teruleti egyseg";5;"Borsod-Abauj-Zemplen"
999;"Budapest, illetve fiktiv teruleti egyseg";6;"Csongrad"
999;"Budapest, illetve fiktiv teruleti egyseg";7;"Fejer"
999;"Budapest, illetve fiktiv teruleti egyseg";8;"Gyor-Moson-Sopron"
999;"Budapest, illetve fiktiv teruleti egyseg";9;"Hajdu-Bihar"
999;"Budapest, illetve fiktiv teruleti egyseg";10;"Heves"
999;"Budapest, illetve fiktiv teruleti egyseg";11;"Komarom-Esztergom"
999;"Budapest, illetve fiktiv teruleti egyseg";12;"Nograd"
999;"Budapest, illetve fiktiv teruleti egyseg";13;"Pest"
999;"Budapest, illetve fiktiv teruleti egyseg";14;"Somogy"
999;"Budapest, illetve fiktiv teruleti egyseg";15;"Szabolcs-Szatmar-Bereg"
999;"Budapest, illetve fiktiv teruleti egyseg";16;"Jasz-Nagykun-Szolnok"
999;"Budapest, illetve fiktiv teruleti egyseg";17;"Tolna"
999;"Budapest, illetve fiktiv teruleti egyseg";18;"Vas"
999;"Budapest, illetve fiktiv teruleti egyseg";19;"Veszprem"
999;"Budapest, illetve fiktiv teruleti egyseg";20;"Zala"
999;"Budapest, illetve fiktiv teruleti egyseg";21;"Orszaghataron kivuli tevekenyseg"
999;"Budapest, illetve fiktiv teruleti egyseg";22;"Az orszag teruletre nem bonthato adatai"
116;"Balassagyarmati";12;"Nograd"
120;"Salgotarjani";12;"Nograd"
81;"Martonvasari";7;"Fejer"
55;"Edelenyi";5;"Borsod-Abauj-Zemplen"
170;"Bonyhadi";17;"Tolna"
181;"Szombathelyi";18;"Vas"
144;"Marcali";14;"Somogy"
87;"Gyori";8;"Gyor-Moson-Sopron"
89;"Mosonmagyarovari";8;"Gyor-Moson-Sopron"
150;"Fehergyarmati";15;"Szabolcs-Szatmar-Bereg"
197;"Zalaegerszegi";20;"Zala"
195;"Letenyei";20;"Zala"
17;"Budapest 17. ker.";1;"fovaros"
73;"Makoi";6;"Csongrad"
198;"Zalaszentgroti";20;"Zala"
37;"Kalocsai";3;"Bacs-Kiskun"
68;"Tiszaujvarosi";5;"Borsod-Abauj-Zemplen"
94;"Berettyoujfalui";9;"Hajdu-Bihar"
185;"Balatonfuredi";19;"Veszprem"
191;"Veszpremi";19;"Veszprem"
82;"Mori";7;"Fejer"
184;"Balatonalmadi";19;"Veszprem"
29;"Pecsvaradi";2;"Baranya"
86;"Csornai";8;"Gyor-Moson-Sopron"
25;"Hegyhati";2;"Baranya"
57;"Gonci";5;"Borsod-Abauj-Zemplen"
60;"Mezokovesdi";5;"Borsod-Abauj-Zemplen"
102;"Puspokladanyi";9;"Hajdu-Bihar"
77;"Bicskei";7;"Fejer"
148;"Baktaloranthazai";15;"Szabolcs-Szatmar-Bereg"
46;"Bekescsabai";4;"Bekes"
138;"Vaci";13;"Pest"
196;"Nagykanizsai";20;"Zala"
92;"Teti";8;"Gyor-Moson-Sopron"
189;"Tapolcai";19;"Veszprem"
178;"Koszegi";18;"Vas"
177;"Kormendi";18;"Vas"
84;"Sarbogardi";7;"Fejer"
143;"Kaposvari";14;"Somogy"
91;"Soproni";8;"Gyor-Moson-Sopron"
114;"Tatai";11;"Komarom-Esztergom"
32;"Szentlorinci";2;"Baranya"
171;"Dombovari";17;"Tolna"
179;"Sarvari";18;"Vas"
194;"Lenti";20;"Zala"
167;"Szolnoki";16;"Jasz-Nagykun-Szolnok"
31;"Siklosi";2;"Baranya"
154;"Mateszalkai";15;"Szabolcs-Szatmar-Bereg"
52;"Szarvasi";4;"Bekes"
85;"Szekesfehervari";7;"Fejer"
40;"Kiskunfelegyhazi";3;"Bacs-Kiskun"
56;"Encsi";5;"Borsod-Abauj-Zemplen"
124;"Cegledi";13;"Pest"
121;"Szecsenyi";12;"Nograd"
79;"Enyingi";7;"Fejer"
174;"Tamasi";17;"Tolna"
67;"Szikszoi";5;"Borsod-Abauj-Zemplen"
176;"Celldomolki";18;"Vas"
61;"Miskolci";5;"Borsod-Abauj-Zemplen"
62;"Ozdi";5;"Borsod-Abauj-Zemplen"
93;"Balmazujvarosi";9;"Hajdu-Bihar"
192;"Zirci";19;"Veszprem"
155;"Nagykalloi";15;"Szabolcs-Szatmar-Bereg"
35;"Bajai";3;"Bacs-Kiskun"
109;"Petervasarai";10;"Heves"
105;"Fuzesabonyi";10;"Heves"
156;"Nyirbatori";15;"Szabolcs-Szatmar-Bereg"
27;"Mohacsi";2;"Baranya"
97;"Hajduboszormenyi";9;"Hajdu-Bihar"
63;"Putnoki";5;"Borsod-Abauj-Zemplen"
78;"Dunaujvarosi";7;"Fejer"
66;"Szerencsi";5;"Borsod-Abauj-Zemplen"
2;"Budapest 02. ker.";1;"fovaros"
182;"Vasvari";18;"Vas"
146;"Siofoki";14;"Somogy"
58;"Kazincbarcikai";5;"Borsod-Abauj-Zemplen"
180;"Szentgotthardi";18;"Vas"
30;"Sellyei";2;"Baranya"
122;"Aszodi";13;"Pest"
169;"Torokszentmiklosi";16;"Jasz-Nagykun-Szolnok"
104;"Egri";10;"Heves"
123;"Budakeszi";13;"Pest"
175;"Tolnai";17;"Tolna"
107;"Hatvani";10;"Heves"
48;"Gyulai";4;"Bekes"
80;"Gardonyi";7;"Fejer"
106;"Gyongyosi";10;"Heves"
28;"Pecsi";2;"Baranya"
153;"Kisvardai";15;"Szabolcs-Szatmar-Bereg"
187;"Papai";19;"Veszprem"
131;"Nagykatai";13;"Pest"
69;"Tokaji";5;"Borsod-Abauj-Zemplen"
59;"Mezocsati";5;"Borsod-Abauj-Zemplen"
193;"Keszthelyi";20;"Zala"
118;"Pasztoi";12;"Nograd"
151;"Ibranyi";15;"Szabolcs-Szatmar-Bereg"
173;"Szekszardi";17;"Tolna"
54;"Cigandi";5;"Borsod-Abauj-Zemplen"
74;"Morahalmi";6;"Csongrad"
24;"Bolyi";2;"Baranya"
19;"Budapest 19. ker.";1;"fovaros"
88;"Kapuvari";8;"Gyor-Moson-Sopron"
26;"Komloi";2;"Baranya"
128;"Godolloi";13;"Pest"
129;"Gyali";13;"Pest"
108;"Hevesi";10;"Heves"
38;"Kecskemeti";3;"Bacs-Kiskun"
127;"Erdi";13;"Pest"
137;"Szobi";13;"Pest"
51;"Sarkadi";4;"Bekes"
49;"Mezokovacshazai";4;"Bekes"
166;"Mezoturi";16;"Jasz-Nagykun-Szolnok"
45;"Bekesi";4;"Bekes"
186;"Devecseri";19;"Veszprem"
159;"Vasarosnamenyi";15;"Szabolcs-Szatmar-Bereg"
188;"Sumegi";19;"Veszprem"
119;"Retsagi";12;"Nograd"
90;"Pannonhalmi";8;"Gyor-Moson-Sopron"
134;"Rackevei";13;"Pest"
103;"Belapatfalvai";10;"Heves"
112;"Komaromi";11;"Komarom-Esztergom"
157;"Nyiregyhazi";15;"Szabolcs-Szatmar-Bereg"
33;"Szigetvari";2;"Baranya"
113;"Oroszlanyi";11;"Komarom-Esztergom"
141;"Csurgoi";14;"Somogy"
172;"Paksi";17;"Tolna"
135;"Szentendrei";13;"Pest"
163;"Karcagi";16;"Jasz-Nagykun-Szolnok"
