"jaras_kod";"total_emp";"total_firms"
1;41408;2744
2;101202;7980
3;103551;9898
4;79200;5368
5;298123;6420
6;130281;6747
7;74260;5950
8;165067;7991
9;120663;5717
10;99252;6742
11;174798;12163
12;53298;4512
13;254176;12010
14;132181;10118
15;54399;6048
16;33600;5002
17;25966;4166
18;51432;5608
19;22784;3325
20;23669;3320
21;40564;4299
22;28753;3368
23;16695;1393
24;6273;504
25;4437;467
26;11953;1284
27;14235;1350
28;111949;9160
29;4466;477
30;4606;455
31;13198;1582
32;4668;521
33;11169;1035
34;5477;561
35;29496;3211
36;6419;543
37;21572;2253
38;99958;7982
39;23799;2979
40;16264;1501
41;21253;2107
42;5982;753
43;8741;1061
44;9459;1040
45;14302;1402
46;51265;4027
47;9893;1037
48;23229;1672
49;13211;1160
50;24714;2177
51;6406;748
52;13133;1219
53;10352;973
54;3902;289
55;10094;872
56;7200;571
57;6077;498
58;24673;1830
59;5563;493
60;13403;1492
61;140129;9685
62;18530;1533
63;5199;433
64;14278;921
65;10370;726
66;12570;1187
67;4950;461
68;17482;1087
69;4330;535
70;7758;843
71;27953;2598
72;5775;690
73;17052;1633
74;8535;1060
75;120844;10940
76;18111;1739
77;25731;1309
78;48104;3709
79;5367;648
80;10791;1366
81;7561;860
82;17730;1152
84;6141;817
85;104524;7988
86;10680;1267
87;148143;10195
88;9609;1090
89;32598;3410
90;5364;676
91;49708;4862
92;2917;451
93;10717;1117
94;17918;1574
95;154812;11671
96;11163;1307
97;15475;1519
98;6057;603
99;10182;996
100;20150;1866
101;7845;856
102;13461;1259
103;2663;300
104;54409;4393
105;10893;1063
106;28439;2952
107;25296;1915
108;9968;1098
109;6706;774
110;43269;4219
111;6964;712
112;22457;1721
113;11758;966
114;18755;2184
115;64648;5049
116;15758;1338
117;7514;710
118;10065;1164
119;7347;844
120;30378;2249
121;5788;657
122;10824;1499
123;88568;5457
124;32995;3550
125;32661;3259
126;39840;4333
127;52111;6375
128;62849;6749
129;18158;1984
130;17195;2653
131;17793;2436
132;7888;978
133;21870;2873
134;12078;1689
135;30664;4554
136;51909;5650
137;8636;1071
138;35666;3223
139;22072;2476
140;7873;772
141;5188;526
142;12781;1760
143;62495;5138
144;13334;1244
145;10729;887
146;26579;3020
147;11067;445
148;7725;584
149;4999;384
150;13185;1161
151;6812;665
152;6713;539
153;20209;1631
154;24842;1945
155;10700;997
156;16195;1323
157;114836;8734
158;10314;824
159;11299;1056
160;5742;453
161;9904;920
162;30412;1977
163;17894;1570
164;6875;593
165;10298;1146
166;11349;1060
167;68876;4786
168;6904;787
169;11194;1231
170;11548;1234
171;11538;1219
172;20805;1822
173;33662;2856
174;12204;1366
175;4046;599
176;13548;779
177;9548;939
178;9156;986
179;14316;1375
180;7784;567
181;76170;4987
182;4266;467
183;20428;1539
184;11903;1322
185;13354;1709
186;6035;500
187;27506;2375
188;5348;575
189;12033;1578
190;12603;1156
191;60567;4241
192;5564;723
193;22644;3047
194;6951;893
195;5234;595
196;36321;3585
197;58965;4694
198;5194;574
