"ind_i";"ind_j";"c_ij";"c_i";"c_j";"c";"c_rel";"cr_norm";"e_id"
1;1;0;0;0;468;NA;-0.5;1
1;2;0;0;0;468;NA;-1;2
2;1;0;0;0;468;NA;-1;2
1;3;0;0;0;468;NA;-1;3
3;1;0;0;0;468;NA;-1;3
1;5;0;0;0;468;NA;-1;4
5;1;0;0;0;468;NA;-1;4
1;6;0;0;0;468;NA;-1;5
6;1;0;0;0;468;NA;-1;5
1;7;0;0;0;468;NA;-1;6
7;1;0;0;0;468;NA;-1;6
1;8;0;0;0;468;NA;-1;7
8;1;0;0;0;468;NA;-1;7
1;9;0;0;0;468;NA;-1;8
9;1;0;0;0;468;NA;-1;8
1;10;0;0;4;468;NA;-1;9
10;1;0;19;0;468;NA;-1;9
1;11;0;0;0;468;NA;-1;10
11;1;0;0;0;468;NA;-1;10
1;12;0;0;0;468;NA;-1;11
12;1;0;0;0;468;NA;-1;11
1;13;0;0;0;468;NA;-1;12
13;1;0;0;0;468;NA;-1;12
1;14;0;0;0;468;NA;-1;13
14;1;0;0;0;468;NA;-1;13
1;15;0;0;0;468;NA;-1;14
15;1;0;0;0;468;NA;-1;14
1;16;0;0;0;468;NA;-1;15
16;1;0;0;0;468;NA;-1;15
1;17;0;0;0;468;NA;-1;16
17;1;0;0;0;468;NA;-1;16
1;18;0;0;0;468;NA;-1;17
18;1;0;0;0;468;NA;-1;17
1;19;0;0;0;468;NA;-1;18
19;1;0;4;0;468;NA;-1;18
1;20;0;0;90;468;NA;-1;19
20;1;0;64;0;468;NA;-1;19
1;21;0;0;275;468;NA;-1;20
21;1;0;294;0;468;NA;-1;20
1;22;0;0;0;468;NA;-1;21
22;1;0;0;0;468;NA;-1;21
1;23;0;0;6;468;NA;-1;22
23;1;0;4;0;468;NA;-1;22
1;24;0;0;0;468;NA;-1;23
24;1;0;0;0;468;NA;-1;23
1;25;0;0;1;468;NA;-1;24
25;1;0;2;0;468;NA;-1;24
1;26;0;0;27;468;NA;-1;25
26;1;0;11;0;468;NA;-1;25
1;27;0;0;9;468;NA;-1;26
27;1;0;10;0;468;NA;-1;26
1;28;0;0;17;468;NA;-1;27
28;1;0;37;0;468;NA;-1;27
1;29;0;0;17;468;NA;-1;28
29;1;0;16;0;468;NA;-1;28
1;30;0;0;0;468;NA;-1;29
30;1;0;0;0;468;NA;-1;29
1;31;0;0;0;468;NA;-1;30
31;1;0;0;0;468;NA;-1;30
1;32;0;0;14;468;NA;-1;31
32;1;0;7;0;468;NA;-1;31
1;33;0;0;0;468;NA;-1;32
33;1;0;0;0;468;NA;-1;32
1;35;0;0;0;468;NA;-1;33
35;1;0;0;0;468;NA;-1;33
1;36;0;0;0;468;NA;-1;34
36;1;0;0;0;468;NA;-1;34
1;37;0;0;0;468;NA;-1;35
37;1;0;0;0;468;NA;-1;35
1;38;0;0;0;468;NA;-1;36
38;1;0;0;0;468;NA;-1;36
1;39;0;0;0;468;NA;-1;37
39;1;0;0;0;468;NA;-1;37
1;41;0;0;0;468;NA;-1;38
41;1;0;0;0;468;NA;-1;38
1;42;0;0;0;468;NA;-1;39
42;1;0;0;0;468;NA;-1;39
1;43;0;0;8;468;NA;-1;40
43;1;0;0;0;468;NA;-1;40
1;45;0;0;0;468;NA;-1;41
45;1;0;0;0;468;NA;-1;41
1;46;0;0;0;468;NA;-1;42
46;1;0;0;0;468;NA;-1;42
1;47;0;0;0;468;NA;-1;43
47;1;0;0;0;468;NA;-1;43
1;49;0;0;0;468;NA;-1;44
49;1;0;0;0;468;NA;-1;44
1;50;0;0;0;468;NA;-1;45
50;1;0;0;0;468;NA;-1;45
1;51;0;0;0;468;NA;-1;46
51;1;0;0;0;468;NA;-1;46
1;52;0;0;0;468;NA;-1;47
52;1;0;0;0;468;NA;-1;47
1;53;0;0;0;468;NA;-1;48
53;1;0;0;0;468;NA;-1;48
1;55;0;0;0;468;NA;-1;49
55;1;0;0;0;468;NA;-1;49
1;56;0;0;0;468;NA;-1;50
56;1;0;0;0;468;NA;-1;50
1;58;0;0;0;468;NA;-1;51
58;1;0;0;0;468;NA;-1;51
1;59;0;0;0;468;NA;-1;52
59;1;0;0;0;468;NA;-1;52
1;60;0;0;0;468;NA;-1;53
60;1;0;0;0;468;NA;-1;53
1;61;0;0;0;468;NA;-1;54
61;1;0;0;0;468;NA;-1;54
1;62;0;0;0;468;NA;-1;55
62;1;0;0;0;468;NA;-1;55
1;63;0;0;0;468;NA;-1;56
63;1;0;0;0;468;NA;-1;56
1;64;0;0;0;468;NA;-1;57
64;1;0;0;0;468;NA;-1;57
1;65;0;0;0;468;NA;-1;58
65;1;0;0;0;468;NA;-1;58
1;66;0;0;0;468;NA;-1;59
66;1;0;0;0;468;NA;-1;59
1;68;0;0;0;468;NA;-1;60
68;1;0;0;0;468;NA;-1;60
1;69;0;0;0;468;NA;-1;61
69;1;0;0;0;468;NA;-1;61
1;70;0;0;0;468;NA;-1;62
70;1;0;0;0;468;NA;-1;62
1;71;0;0;0;468;NA;-1;63
71;1;0;0;0;468;NA;-1;63
1;72;0;0;0;468;NA;-1;64
72;1;0;0;0;468;NA;-1;64
1;73;0;0;0;468;NA;-1;65
73;1;0;0;0;468;NA;-1;65
1;74;0;0;0;468;NA;-1;66
74;1;0;0;0;468;NA;-1;66
1;75;0;0;0;468;NA;-1;67
75;1;0;0;0;468;NA;-1;67
1;77;0;0;0;468;NA;-1;68
77;1;0;0;0;468;NA;-1;68
1;78;0;0;0;468;NA;-1;69
78;1;0;0;0;468;NA;-1;69
1;79;0;0;0;468;NA;-1;70
79;1;0;0;0;468;NA;-1;70
1;80;0;0;0;468;NA;-1;71
80;1;0;0;0;468;NA;-1;71
1;81;0;0;0;468;NA;-1;72
81;1;0;0;0;468;NA;-1;72
1;82;0;0;0;468;NA;-1;73
82;1;0;0;0;468;NA;-1;73
1;84;0;0;0;468;NA;-1;74
84;1;0;0;0;468;NA;-1;74
1;85;0;0;0;468;NA;-1;75
85;1;0;0;0;468;NA;-1;75
1;86;0;0;0;468;NA;-1;76
86;1;0;0;0;468;NA;-1;76
1;87;0;0;0;468;NA;-1;77
87;1;0;0;0;468;NA;-1;77
1;88;0;0;0;468;NA;-1;78
88;1;0;0;0;468;NA;-1;78
1;90;0;0;0;468;NA;-1;79
90;1;0;0;0;468;NA;-1;79
1;91;0;0;0;468;NA;-1;80
91;1;0;0;0;468;NA;-1;80
1;92;0;0;0;468;NA;-1;81
92;1;0;0;0;468;NA;-1;81
1;93;0;0;0;468;NA;-1;82
93;1;0;0;0;468;NA;-1;82
1;94;0;0;0;468;NA;-1;83
94;1;0;0;0;468;NA;-1;83
1;95;0;0;0;468;NA;-1;84
95;1;0;0;0;468;NA;-1;84
1;96;0;0;0;468;NA;-1;85
96;1;0;0;0;468;NA;-1;85
1;97;0;0;0;468;NA;-1;86
97;1;0;0;0;468;NA;-1;86
1;98;0;0;0;468;NA;-1;87
98;1;0;0;0;468;NA;-1;87
1;99;0;0;0;468;NA;-1;88
99;1;0;0;0;468;NA;-1;88
2;2;0;0;0;468;NA;-0.5;89
2;3;0;0;0;468;NA;-1;90
3;2;0;0;0;468;NA;-1;90
2;5;0;0;0;468;NA;-1;91
5;2;0;0;0;468;NA;-1;91
2;6;0;0;0;468;NA;-1;92
6;2;0;0;0;468;NA;-1;92
2;7;0;0;0;468;NA;-1;93
7;2;0;0;0;468;NA;-1;93
2;8;0;0;0;468;NA;-1;94
8;2;0;0;0;468;NA;-1;94
2;9;0;0;0;468;NA;-1;95
9;2;0;0;0;468;NA;-1;95
2;10;0;0;4;468;NA;-1;96
10;2;0;19;0;468;NA;-1;96
2;11;0;0;0;468;NA;-1;97
11;2;0;0;0;468;NA;-1;97
2;12;0;0;0;468;NA;-1;98
12;2;0;0;0;468;NA;-1;98
2;13;0;0;0;468;NA;-1;99
13;2;0;0;0;468;NA;-1;99
2;14;0;0;0;468;NA;-1;100
14;2;0;0;0;468;NA;-1;100
2;15;0;0;0;468;NA;-1;101
15;2;0;0;0;468;NA;-1;101
2;16;0;0;0;468;NA;-1;102
16;2;0;0;0;468;NA;-1;102
2;17;0;0;0;468;NA;-1;103
17;2;0;0;0;468;NA;-1;103
2;18;0;0;0;468;NA;-1;104
18;2;0;0;0;468;NA;-1;104
2;19;0;0;0;468;NA;-1;105
19;2;0;4;0;468;NA;-1;105
2;20;0;0;90;468;NA;-1;106
20;2;0;64;0;468;NA;-1;106
2;21;0;0;275;468;NA;-1;107
21;2;0;294;0;468;NA;-1;107
2;22;0;0;0;468;NA;-1;108
22;2;0;0;0;468;NA;-1;108
2;23;0;0;6;468;NA;-1;109
23;2;0;4;0;468;NA;-1;109
2;24;0;0;0;468;NA;-1;110
24;2;0;0;0;468;NA;-1;110
2;25;0;0;1;468;NA;-1;111
25;2;0;2;0;468;NA;-1;111
2;26;0;0;27;468;NA;-1;112
26;2;0;11;0;468;NA;-1;112
2;27;0;0;9;468;NA;-1;113
27;2;0;10;0;468;NA;-1;113
2;28;0;0;17;468;NA;-1;114
28;2;0;37;0;468;NA;-1;114
2;29;0;0;17;468;NA;-1;115
29;2;0;16;0;468;NA;-1;115
2;30;0;0;0;468;NA;-1;116
30;2;0;0;0;468;NA;-1;116
2;31;0;0;0;468;NA;-1;117
31;2;0;0;0;468;NA;-1;117
2;32;0;0;14;468;NA;-1;118
32;2;0;7;0;468;NA;-1;118
2;33;0;0;0;468;NA;-1;119
33;2;0;0;0;468;NA;-1;119
2;35;0;0;0;468;NA;-1;120
35;2;0;0;0;468;NA;-1;120
2;36;0;0;0;468;NA;-1;121
36;2;0;0;0;468;NA;-1;121
2;37;0;0;0;468;NA;-1;122
37;2;0;0;0;468;NA;-1;122
2;38;0;0;0;468;NA;-1;123
38;2;0;0;0;468;NA;-1;123
2;39;0;0;0;468;NA;-1;124
39;2;0;0;0;468;NA;-1;124
2;41;0;0;0;468;NA;-1;125
41;2;0;0;0;468;NA;-1;125
2;42;0;0;0;468;NA;-1;126
42;2;0;0;0;468;NA;-1;126
2;43;0;0;8;468;NA;-1;127
43;2;0;0;0;468;NA;-1;127
2;45;0;0;0;468;NA;-1;128
45;2;0;0;0;468;NA;-1;128
2;46;0;0;0;468;NA;-1;129
46;2;0;0;0;468;NA;-1;129
2;47;0;0;0;468;NA;-1;130
47;2;0;0;0;468;NA;-1;130
2;49;0;0;0;468;NA;-1;131
49;2;0;0;0;468;NA;-1;131
2;50;0;0;0;468;NA;-1;132
50;2;0;0;0;468;NA;-1;132
2;51;0;0;0;468;NA;-1;133
51;2;0;0;0;468;NA;-1;133
2;52;0;0;0;468;NA;-1;134
52;2;0;0;0;468;NA;-1;134
2;53;0;0;0;468;NA;-1;135
53;2;0;0;0;468;NA;-1;135
2;55;0;0;0;468;NA;-1;136
55;2;0;0;0;468;NA;-1;136
2;56;0;0;0;468;NA;-1;137
56;2;0;0;0;468;NA;-1;137
2;58;0;0;0;468;NA;-1;138
58;2;0;0;0;468;NA;-1;138
2;59;0;0;0;468;NA;-1;139
59;2;0;0;0;468;NA;-1;139
2;60;0;0;0;468;NA;-1;140
60;2;0;0;0;468;NA;-1;140
2;61;0;0;0;468;NA;-1;141
61;2;0;0;0;468;NA;-1;141
2;62;0;0;0;468;NA;-1;142
62;2;0;0;0;468;NA;-1;142
2;63;0;0;0;468;NA;-1;143
