"appln_id";"ctry_code";"IPC4d"
689;"HU";"A61K"
689;"HU";"A61P"
689;"HU";"C07D"
1544;"HU";"C07C"
1862;"HU";"A61K"
1862;"HU";"A61P"
1862;"HU";"C07D"
1862;"HU";"C07K"
1862;"HU";"C12N"
1862;"HU";"C12Q"
1862;"HU";"G01N"
3252;"HU";"B82Y"
3252;"HU";"C04B"
3252;"HU";"F27D"
4672;"HU";"A01N"
5534;"HU";"A61K"
5534;"HU";"A61P"
5534;"HU";"C07D"
22357;"HU";"C07C"
22357;"HU";"C07D"
24712;"HU";"A23L"
24712;"HU";"B65B"
24712;"HU";"B65D"
25168;"HU";"F16D"
25986;"HU";"G01J"
25986;"HU";"H01S"
32930;"HU";"G06F"
32930;"HU";"H04L"
39846;"HU";"A61K"
39846;"HU";"C07D"
39983;"HU";"C25B"
39983;"HU";"H01M"
41908;"HU";"A62C"
43604;"HU";"H04L"
51209;"HU";"G06Q"
52023;"HU";"B60J"
52304;"HU";"B60R"
52548;"HU";"A61B"
52548;"HU";"A61N"
52665;"HU";"H04L"
53048;"HU";"C25B"
53643;"HU";"A61K"
53643;"HU";"C12N"
53643;"HU";"G01N"
54686;"HU";"A61L"
54838;"HU";"A61K"
54838;"HU";"C01B"
54888;"HU";"G06F"
54888;"HU";"H04L"
55523;"HU";"G01M"
55523;"HU";"G01N"
55611;"HU";"A61K"
55611;"HU";"A61P"
55611;"HU";"C07D"
55611;"HU";"C07F"
55611;"HU";"C12N"
56223;"HU";"F16F"
59693;"HU";"G06F"
64447;"HU";"C22C"
65976;"HU";"H04L"
65976;"HU";"H04W"
66074;"HU";"A61K"
66074;"HU";"C07D"
66697;"HU";"A61K"
66697;"HU";"A61P"
84238;"HU";"C04B"
84238;"HU";"F27B"
84238;"HU";"F27D"
91037;"HU";"H04L"
91037;"HU";"H04Q"
91037;"HU";"H04W"
91067;"HU";"A61K"
91067;"HU";"A61P"
92175;"HU";"A61K"
92175;"HU";"C07D"
92953;"HU";"A61K"
92953;"HU";"C07B"
92953;"HU";"C07D"
96627;"HU";"A61K"
96627;"HU";"A61P"
102339;"HU";"H04L"
102431;"HU";"C12N"
102431;"HU";"C12P"
102431;"HU";"C12R"
102669;"HU";"H04L"
102675;"HU";"E04B"
102924;"HU";"D06F"
102924;"HU";"E03B"
102924;"HU";"E03D"
103161;"HU";"A61K"
103161;"HU";"A61P"
103161;"HU";"C07D"
103184;"HU";"A61K"
103184;"HU";"A61P"
103184;"HU";"C07D"
103206;"HU";"C12Q"
103206;"HU";"G01N"
103536;"HU";"H04L"
104244;"HU";"A47G"
113739;"HU";"C09K"
113739;"HU";"H01J"
116003;"HU";"G02B"
116239;"HU";"A61N"
116655;"HU";"C12N"
116655;"HU";"C12P"
116655;"HU";"C12R"
124433;"HU";"F02M"
124433;"HU";"F16K"
124433;"HU";"F28F"
127517;"HU";"C07D"
127517;"HU";"C07F"
127672;"HU";"A61K"
127672;"HU";"A61P"
127672;"HU";"C07D"
129017;"HU";"A61F"
129017;"HU";"A61N"
129018;"HU";"C08L"
129018;"HU";"E01C"
129018;"HU";"G01N"
129018;"HU";"G06F"
132140;"HU";"A61K"
132140;"HU";"A61P"
132140;"HU";"C07D"
132796;"HU";"A61K"
132796;"HU";"C07C"
133256;"HU";"A61K"
133256;"HU";"A61P"
133256;"HU";"C12N"
133505;"HU";"A61K"
133505;"HU";"C07D"
133507;"HU";"A61K"
133507;"HU";"C07D"
134020;"HU";"F24D"
134020;"HU";"F24J"
134020;"HU";"F24S"
134020;"HU";"F28D"
134068;"HU";"A61K"
134068;"HU";"A61P"
134068;"HU";"C07D"
134165;"HU";"C07D"
134508;"HU";"G06F"
134508;"HU";"G06Q"
135398;"HU";"C07C"
135547;"HU";"B23K"
135758;"HU";"A61K"
135758;"HU";"A61P"
135917;"HU";"H04L"
